,greV,greQ,greA,cgpa,univName
44073,164.0,166.0,4.5,3.9,National University of Sciences and Technology
44097,167.0,162.0,4.0,3.96,Air University
44102,170.0,160.0,6.0,3.99,Quaid-i-Azam University
44107,156.0,168.0,4.5,4.0,Aga Khan University
44125,157.0,160.0,4.5,3.57,Bahria University
44145,167.0,156.0,5.0,3.5,National University of Sciences and Technology
44155,163.0,170.0,4.5,3.93,Air University
44163,160.0,165.0,4.0,3.92,Aga Khan University
44165,160.0,165.0,4.0,3.92,University of Central Punjab
44181,170.0,168.0,5.0,4.0,COMSATS University Islamabad
44195,167.0,168.0,5.0,3.9,Aga Khan University
44196,161.0,170.0,3.5,3.9,National University of Sciences and Technology
44224,164.0,155.0,4.5,3.71,National University of Sciences and Technology
44225,168.0,170.0,4.5,3.84,NED University of Engineering and Technology
44234,163.0,166.0,5.5,3.6,National University of Sciences and Technology
44241,163.0,166.0,5.5,3.6,University of Central Punjab
44244,161.0,167.0,5.5,3.8,COMSATS University Islamabad
44252,164.0,166.0,5.5,3.65,Aga Khan University
44253,164.0,166.0,5.5,3.65,Lahore University of Management Sciences
44265,157.0,154.0,5.0,3.51,COMSATS University Islamabad
44276,162.0,155.0,5.0,3.8,University of the Punjab
44281,170.0,162.0,5.5,4.0,"International Islamic University, Islamabad"
44284,157.0,159.0,4.5,3.97,University of Central Punjab
44301,157.0,159.0,3.5,3.98,National University of Modern Languages
44311,152.0,150.0,4.0,3.96,University of Central Punjab
44315,160.0,160.0,5.0,3.56,National University of Computer and Emerging Sciences
44334,150.0,155.0,4.0,3.8,University of Central Punjab
44351,154.0,162.0,4.5,3.8,Aga Khan University
44360,165.0,158.0,4.5,3.9,National University of Sciences and Technology
44397,156.0,170.0,4.5,4.0,National University of Computer and Emerging Sciences
44408,143.0,163.0,3.0,2.5,National University of Modern Languages
44429,167.0,163.0,6.0,3.68,COMSATS University Islamabad
44432,159.0,158.0,4.0,3.65,Bahauddin Zakariya University
44436,167.0,160.0,3.5,3.9,National University of Computer and Emerging Sciences
44439,162.0,163.0,5.0,3.7,National University of Sciences and Technology
44443,167.0,161.0,4.5,3.66,Bahauddin Zakariya University
44448,167.0,166.0,5.0,3.9,"University of Engineering and Technology, Lahore"
44449,152.0,170.0,3.5,3.96,National University of Computer and Emerging Sciences
44492,154.0,167.0,4.5,3.6,National University of Computer and Emerging Sciences
44496,161.0,157.0,5.0,4.0,COMSATS University Islamabad
44512,152.0,170.0,3.0,3.38,University of the Punjab
44516,168.0,162.0,4.5,3.9,Institute of Business Administration
44536,161.0,147.0,4.0,3.1,University of Central Punjab
44542,159.0,167.0,3.5,3.95,Aga Khan University
44549,162.0,170.0,5.0,3.99,National University of Computer and Emerging Sciences
44552,166.0,153.0,5.5,3.9,COMSATS University Islamabad
44555,159.0,167.0,4.0,3.35,Bahria University
44556,165.0,152.0,4.5,3.95,Bahauddin Zakariya University
44569,155.0,170.0,4.0,3.3,National University of Computer and Emerging Sciences
44578,170.0,165.0,6.0,4.0,Bahauddin Zakariya University
44592,161.0,168.0,4.0,3.73,"University of Engineering and Technology, Lahore"
44593,164.0,163.0,4.5,3.98,Bahauddin Zakariya University
44637,152.0,164.0,4.0,3.56,Bahauddin Zakariya University
44642,165.0,157.0,5.0,3.6,Bahauddin Zakariya University
44647,162.0,170.0,3.5,3.88,Bahauddin Zakariya University
44653,159.0,170.0,2.5,3.84,Aga Khan University
44663,149.0,170.0,4.0,3.23,National University of Modern Languages
44681,164.0,147.0,4.5,3.76,National University of Modern Languages
44688,154.0,162.0,5.0,4.0,University of Central Punjab
44698,160.0,160.0,5.0,4.0,Aga Khan University
44702,151.0,167.0,4.0,3.55,Aga Khan University
44706,159.0,154.0,4.5,3.32,COMSATS University Islamabad
44713,169.0,168.0,5.5,3.92,"University of Engineering and Technology, Lahore"
44733,165.0,165.0,4.5,3.98,University of the Punjab
44740,160.0,168.0,4.5,9.28,National University of Computer and Emerging Sciences
44762,161.0,157.0,5.0,3.5,COMSATS University Islamabad
44772,165.0,150.0,4.5,3.85,NED University of Engineering and Technology
44774,157.0,170.0,3.5,3.5,Bahauddin Zakariya University
44781,151.0,170.0,3.5,3.79,COMSATS University Islamabad
44784,157.0,170.0,3.5,3.5,Bahauddin Zakariya University
44806,155.0,170.0,4.0,3.89,National University of Computer and Emerging Sciences
44811,156.0,169.0,3.5,3.2,Bahria University
44816,158.0,151.0,4.0,3.65,Bahauddin Zakariya University
44820,163.0,166.0,4.5,3.8,National University of Computer and Emerging Sciences
44831,164.0,161.0,6.0,3.98,University of Central Punjab
44860,161.0,165.0,5.5,4.0,"International Islamic University, Islamabad"
44865,167.0,156.0,6.0,4.0,Bahauddin Zakariya University
44876,161.0,169.0,4.0,3.9,Bahauddin Zakariya University
44884,163.0,167.0,4.0,3.96,Lahore University of Management Sciences
44886,163.0,167.0,4.0,3.96,University of the Punjab
44903,170.0,170.0,5.0,3.96,Bahauddin Zakariya University
44914,161.0,149.0,4.5,3.82,Aga Khan University
44925,167.0,150.0,4.0,3.53,"University of Engineering and Technology, Lahore"
44941,167.0,170.0,4.5,3.73,Bahria University
44966,158.0,170.0,4.0,3.93,"University of Engineering and Technology, Lahore"
44978,149.0,168.0,3.0,3.39,NED University of Engineering and Technology
44986,164.0,170.0,5.5,3.9,National University of Sciences and Technology
44998,159.0,170.0,5.0,3.8,National University of Sciences and Technology
45001,169.0,169.0,6.0,3.8,National University of Sciences and Technology
45010,162.0,151.0,4.0,3.9,University of Central Punjab
45014,166.0,165.0,4.5,3.98,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
45015,154.0,170.0,4.5,3.94,National University of Computer and Emerging Sciences
45016,166.0,165.0,4.5,3.98,Bahauddin Zakariya University
45026,162.0,166.0,4.5,3.72,Aga Khan University
45034,156.0,155.0,3.5,3.92,Quaid-i-Azam University
45036,161.0,157.0,5.0,4.0,NED University of Engineering and Technology
45051,166.0,156.0,5.5,3.67,National University of Sciences and Technology
45068,164.0,158.0,5.0,4.0,National University of Modern Languages
45069,168.0,161.0,5.5,3.92,National University of Sciences and Technology
45074,157.0,158.0,6.0,3.9,NED University of Engineering and Technology
45081,165.0,170.0,4.0,3.8,Bahauddin Zakariya University
45088,153.0,161.0,3.5,3.0,NED University of Engineering and Technology
45113,163.0,155.0,4.0,3.97,National University of Sciences and Technology
45122,162.0,168.0,4.5,3.72,Quaid-i-Azam University
45126,159.0,160.0,5.0,3.68,"University of Engineering and Technology, Lahore"
45133,157.0,165.0,4.5,3.52,National University of Sciences and Technology
45139,163.0,160.0,3.0,4.0,Aga Khan University
45141,168.0,168.0,4.5,3.96,Aga Khan University
45155,159.0,168.0,4.5,4.0,National University of Sciences and Technology
45159,155.0,170.0,4.0,3.89,National University of Computer and Emerging Sciences
45163,168.0,152.0,4.0,3.9,Aga Khan University
45164,167.0,167.0,5.0,3.85,COMSATS University Islamabad
45175,161.0,154.0,4.5,4.0,Aga Khan University
45179,152.0,164.0,4.0,3.56,Bahauddin Zakariya University
45186,160.0,155.0,4.5,4.0,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
45214,149.0,168.0,3.0,3.84,COMSATS University Islamabad
45219,168.0,166.0,5.0,3.8,University of the Punjab
45227,158.0,151.0,4.5,3.8,University of the Punjab
45246,160.0,162.0,5.0,3.93,Bahauddin Zakariya University
45247,159.0,158.0,5.0,3.63,National University of Sciences and Technology
45262,165.0,170.0,4.0,3.92,Aga Khan University
45277,158.0,165.0,4.0,3.95,Air University
45287,150.0,159.0,5.5,3.46,COMSATS University Islamabad
45290,160.0,147.0,5.5,3.6,"University of Engineering and Technology, Lahore"
45296,156.0,165.0,5.0,3.4,Bahria University
45300,156.0,165.0,5.0,3.4,National University of Sciences and Technology
45304,156.0,165.0,5.0,3.4,Air University
45311,165.0,160.0,5.0,3.79,National University of Sciences and Technology
45415,168.0,170.0,4.5,3.84,Aga Khan University
45428,157.0,170.0,3.5,3.5,Aga Khan University
45431,163.0,170.0,5.0,4.0,Aga Khan University
45438,167.0,164.0,4.0,3.74,NED University of Engineering and Technology
45449,149.0,166.0,3.0,3.6,Aga Khan University
45463,154.0,168.0,3.0,3.72,National University of Modern Languages
45464,154.0,168.0,3.0,3.72,National University of Modern Languages
45466,160.0,170.0,4.0,4.0,Aga Khan University
45467,156.0,170.0,5.0,3.67,Quaid-i-Azam University
45468,158.0,160.0,5.0,3.7,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
45471,156.0,170.0,3.0,3.77,NED University of Engineering and Technology
45474,148.0,163.0,3.5,3.45,University of Central Punjab
45482,167.0,162.0,5.0,3.1,Aga Khan University
45484,160.0,154.0,5.5,3.71,"University of Engineering and Technology, Lahore"
45492,160.0,161.0,5.0,3.44,NED University of Engineering and Technology
45497,161.0,166.0,5.5,3.82,"International Islamic University, Islamabad"
45499,161.0,166.0,5.5,3.82,Bahauddin Zakariya University
45507,168.0,164.0,5.0,3.7,Aga Khan University
45512,165.0,167.0,4.0,3.75,National University of Sciences and Technology
45514,165.0,167.0,5.0,3.75,Quaid-i-Azam University
45516,148.0,162.0,4.0,3.96,Quaid-i-Azam University
45522,170.0,163.0,5.5,4.0,University of Central Punjab
45554,170.0,161.0,5.5,3.83,COMSATS University Islamabad
45555,148.0,170.0,3.0,3.2,Bahria University
45564,160.0,168.0,4.0,3.0,National University of Computer and Emerging Sciences
45569,165.0,157.0,4.5,3.9,Air University
45583,163.0,163.0,5.0,3.87,National University of Modern Languages
45600,161.0,168.0,3.5,4.0,COMSATS University Islamabad
45617,161.0,159.0,5.0,3.9,"International Islamic University, Islamabad"
45631,150.0,165.0,3.5,3.3,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
45636,161.0,145.0,4.5,3.6,"International Islamic University, Islamabad"
45643,162.0,158.0,4.0,3.8,Air University
45650,164.0,170.0,5.0,3.9,"International Islamic University, Islamabad"
45659,151.0,157.0,5.0,3.49,Bahria University
45662,160.0,159.0,0.0,3.8,University of Central Punjab
45675,157.0,154.0,3.5,3.64,"International Islamic University, Islamabad"
45680,158.0,168.0,4.5,3.9,Quaid-i-Azam University
45698,161.0,170.0,4.5,3.99,National University of Computer and Emerging Sciences
45699,161.0,170.0,4.5,3.99,National University of Computer and Emerging Sciences
45702,161.0,155.0,4.0,3.95,Air University
45705,162.0,170.0,5.0,4.0,"University of Engineering and Technology, Lahore"
45734,157.0,167.0,4.0,3.23,"International Islamic University, Islamabad"
45738,148.0,170.0,3.5,3.95,Bahria University
45751,159.0,160.0,4.0,3.93,National University of Sciences and Technology
45760,166.0,168.0,4.0,3.97,University of the Punjab
45796,164.0,149.0,3.0,3.85,"University of Engineering and Technology, Lahore"
45809,170.0,170.0,5.0,3.92,COMSATS University Islamabad
45855,165.0,155.0,5.0,3.39,"University of Engineering and Technology, Lahore"
45870,170.0,157.0,3.5,3.73,"University of Engineering and Technology, Lahore"
45880,158.0,150.0,5.5,3.7,National University of Sciences and Technology
45887,168.0,168.0,3.5,3.48,Aga Khan University
45902,154.0,145.0,3.5,3.45,Bahria University
45905,158.0,152.0,3.5,3.98,Bahria University
45918,162.0,170.0,4.0,3.69,Bahauddin Zakariya University
45919,163.0,168.0,6.0,3.86,"International Islamic University, Islamabad"
45923,159.0,166.0,3.5,2.95,National University of Modern Languages
45929,162.0,158.0,4.0,3.8,Bahauddin Zakariya University
45930,162.0,158.0,4.0,3.8,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
45934,146.0,162.0,3.0,4.05,Quaid-i-Azam University
45938,164.0,163.0,5.0,3.92,"International Islamic University, Islamabad"
45941,163.0,157.0,5.0,3.99,"International Islamic University, Islamabad"
45955,164.0,168.0,4.5,3.96,"International Islamic University, Islamabad"
45969,151.0,170.0,3.5,3.7,NED University of Engineering and Technology
45975,169.0,170.0,4.5,3.96,National University of Computer and Emerging Sciences
45981,156.0,170.0,4.5,3.9,Bahauddin Zakariya University
45984,166.0,146.0,6.0,4.15,COMSATS University Islamabad
45992,169.0,169.0,6.0,3.8,"University of Engineering and Technology, Lahore"
46001,162.0,170.0,0.0,4.0,National University of Computer and Emerging Sciences
46013,162.0,166.0,4.5,3.39,Quaid-i-Azam University
46027,166.0,170.0,4.5,3.8,National University of Computer and Emerging Sciences
46031,151.0,167.0,3.5,3.39,Bahauddin Zakariya University
46051,167.0,149.0,5.0,3.9,COMSATS University Islamabad
46071,165.0,154.0,4.5,3.98,University of Central Punjab
46073,161.0,153.0,5.0,4.0,"University of Engineering and Technology, Lahore"
46083,154.0,161.0,6.0,3.8,National University of Modern Languages
46087,154.0,161.0,6.0,3.8,"International Islamic University, Islamabad"
46110,151.0,167.0,3.0,3.42,Bahauddin Zakariya University
46115,169.0,168.0,5.0,3.98,Aga Khan University
46118,157.0,147.0,5.0,3.87,National University of Sciences and Technology
46124,162.0,161.0,0.0,3.53,"University of Engineering and Technology, Lahore"
46127,160.0,150.0,4.5,3.4,University of Central Punjab
46131,156.0,159.0,5.0,3.75,Aga Khan University
46134,164.0,163.0,4.0,3.94,National University of Sciences and Technology
46142,163.0,166.0,5.5,3.64,National University of Sciences and Technology
46158,163.0,160.0,5.0,3.69,Quaid-i-Azam University
46172,160.0,167.0,4.0,3.93,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
46183,165.0,169.0,4.5,3.9,National University of Computer and Emerging Sciences
46202,163.0,155.0,4.0,3.97,University of Central Punjab
46210,155.0,170.0,3.5,4.0,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
46214,160.0,170.0,5.5,3.99,NED University of Engineering and Technology
46215,169.0,170.0,5.5,3.99,NED University of Engineering and Technology
46250,159.0,164.0,5.0,4.0,"University of Engineering and Technology, Lahore"
46251,152.0,165.0,3.0,3.9,"University of Engineering and Technology, Lahore"
46253,166.0,160.0,4.5,4.0,Quaid-i-Azam University
46263,168.0,166.0,5.0,3.8,"University of Engineering and Technology, Lahore"
46292,167.0,167.0,5.5,4.0,COMSATS University Islamabad
46293,170.0,170.0,5.0,3.91,COMSATS University Islamabad
46307,168.0,170.0,5.5,3.8,Quaid-i-Azam University
46308,156.0,165.0,5.5,4.0,COMSATS University Islamabad
46320,167.0,167.0,4.5,4.0,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
46324,162.0,166.0,4.5,3.86,NED University of Engineering and Technology
46326,169.0,159.0,4.5,4.0,NED University of Engineering and Technology
46358,166.0,168.0,5.0,3.59,Bahria University
46360,161.0,170.0,4.0,3.97,COMSATS University Islamabad
46385,156.0,160.0,4.0,3.4,National University of Computer and Emerging Sciences
46387,168.0,165.0,5.0,3.72,National University of Sciences and Technology
46392,166.0,152.0,6.0,4.0,Quaid-i-Azam University
46394,166.0,152.0,6.0,4.0,National University of Sciences and Technology
46400,161.0,160.0,4.5,3.6,Quaid-i-Azam University
46406,153.0,169.0,4.0,3.98,Bahria University
46413,160.0,160.0,0.0,3.75,Air University
46419,160.0,152.0,4.0,3.98,University of the Punjab
46420,170.0,170.0,4.0,3.96,Bahauddin Zakariya University
46422,169.0,162.0,5.5,3.8,Aga Khan University
46429,155.0,170.0,3.5,3.8,Air University
46439,159.0,168.0,4.0,3.9,Bahauddin Zakariya University
46443,161.0,165.0,4.5,3.8,Aga Khan University
46456,155.0,167.0,4.0,3.66,National University of Computer and Emerging Sciences
46475,160.0,169.0,3.5,3.52,Bahauddin Zakariya University
46489,160.0,167.0,4.0,3.58,Bahauddin Zakariya University
46501,156.0,170.0,3.0,3.93,"International Islamic University, Islamabad"
46510,153.0,155.0,4.0,3.4,Aga Khan University
46516,148.0,162.0,4.0,3.58,COMSATS University Islamabad
46520,165.0,164.0,4.0,4.0,Aga Khan University
46529,159.0,158.0,5.0,3.63,Air University
46540,149.0,159.0,3.0,3.5,Aga Khan University
46566,163.0,170.0,6.0,3.9,"International Islamic University, Islamabad"
46579,151.0,164.0,3.0,3.88,NED University of Engineering and Technology
46602,163.0,159.0,3.5,3.7,National University of Computer and Emerging Sciences
46606,156.0,169.0,3.5,4.0,Quaid-i-Azam University
46607,156.0,169.0,3.5,4.0,National University of Modern Languages
46642,161.0,168.0,4.0,3.64,Aga Khan University
46648,160.0,154.0,5.5,3.71,National University of Computer and Emerging Sciences
46652,156.0,167.0,5.0,3.96,National University of Sciences and Technology
46659,154.0,151.0,3.0,3.8,University of the Punjab
46670,166.0,159.0,5.5,3.99,"International Islamic University, Islamabad"
46674,163.0,147.0,4.5,3.92,National University of Modern Languages
46696,161.0,167.0,4.0,3.35,National University of Computer and Emerging Sciences
46701,164.0,165.0,4.0,3.89,Aga Khan University
46729,151.0,167.0,3.5,3.59,Bahauddin Zakariya University
46730,161.0,167.0,4.0,4.0,COMSATS University Islamabad
46741,164.0,158.0,4.0,3.84,Quaid-i-Azam University
46742,158.0,155.0,5.0,3.65,National University of Modern Languages
46751,165.0,160.0,4.5,3.78,National University of Modern Languages
46755,157.0,168.0,3.5,3.34,NED University of Engineering and Technology
46759,161.0,160.0,6.0,3.72,National University of Modern Languages
46792,163.0,155.0,4.0,3.97,Air University
46795,161.0,167.0,4.5,3.99,National University of Modern Languages
46800,167.0,168.0,5.0,3.83,National University of Modern Languages
46822,155.0,157.0,4.0,3.61,Institute of Business Administration
46826,165.0,157.0,5.5,3.77,COMSATS University Islamabad
46827,165.0,157.0,5.5,3.77,Bahauddin Zakariya University
46841,168.0,163.0,6.0,3.83,National University of Modern Languages
46845,167.0,169.0,5.0,3.75,"University of Engineering and Technology, Lahore"
46857,158.0,170.0,4.5,3.14,University of the Punjab
46863,169.0,161.0,4.5,3.89,Bahauddin Zakariya University
46864,159.0,170.0,3.0,3.8,"International Islamic University, Islamabad"
46891,161.0,151.0,4.0,3.8,"International Islamic University, Islamabad"
46894,155.0,170.0,3.0,3.89,COMSATS University Islamabad
46898,161.0,145.0,4.5,3.6,NED University of Engineering and Technology
46932,161.0,169.0,4.0,3.5,Aga Khan University
46946,168.0,164.0,3.5,3.7,University of Central Punjab
46948,168.0,166.0,5.0,3.88,COMSATS University Islamabad
46956,162.0,167.0,4.0,3.7,"International Islamic University, Islamabad"
46962,165.0,163.0,0.0,3.83,"University of Engineering and Technology, Lahore"
46983,154.0,151.0,4.5,3.86,"International Islamic University, Islamabad"
46995,164.0,168.0,5.0,3.85,"International Islamic University, Islamabad"
46997,156.0,165.0,5.5,4.0,"International Islamic University, Islamabad"
47013,167.0,160.0,3.5,3.9,"International Islamic University, Islamabad"
47028,159.0,157.0,5.0,3.81,"International Islamic University, Islamabad"
47041,161.0,157.0,5.0,3.92,"International Islamic University, Islamabad"
47042,152.0,157.0,4.0,3.21,University of the Punjab
47046,153.0,160.0,5.0,3.48,NED University of Engineering and Technology
47048,153.0,160.0,5.0,3.48,"University of Engineering and Technology, Lahore"
47064,170.0,170.0,5.0,3.97,Aga Khan University
47091,161.0,165.0,4.5,3.91,Aga Khan University
47116,163.0,168.0,6.0,3.86,Aga Khan University
47129,164.0,168.0,4.5,3.96,Aga Khan University
47167,169.0,160.0,5.5,3.93,"International Islamic University, Islamabad"
47171,170.0,155.0,4.0,3.6,Aga Khan University
47188,161.0,167.0,5.0,3.86,National University of Computer and Emerging Sciences
47189,149.0,150.0,5.5,3.6,National University of Modern Languages
47195,169.0,170.0,4.0,3.99,"International Islamic University, Islamabad"
47199,168.0,162.0,4.0,3.3,Bahria University
47200,168.0,162.0,4.0,3.3,University of the Punjab
47262,157.0,167.0,4.0,3.7,Aga Khan University
47275,170.0,155.0,3.5,3.7,National University of Modern Languages
47279,164.0,167.0,0.0,3.97,University of Central Punjab
47283,161.0,170.0,4.5,3.75,National University of Modern Languages
47312,167.0,169.0,4.0,3.9,Quaid-i-Azam University
47316,165.0,168.0,5.0,3.7,Bahauddin Zakariya University
47318,163.0,169.0,5.0,3.95,National University of Computer and Emerging Sciences
47322,163.0,169.0,5.0,3.95,National University of Modern Languages
47323,160.0,170.0,5.0,3.94,"University of Engineering and Technology, Lahore"
47324,163.0,169.0,5.0,3.95,University of Central Punjab
47328,157.0,159.0,4.0,3.82,Bahauddin Zakariya University
47338,163.0,168.0,4.5,3.8,National University of Sciences and Technology
47358,150.0,170.0,4.0,3.84,Bahauddin Zakariya University
47365,164.0,160.0,5.0,3.93,Bahauddin Zakariya University
47373,157.0,170.0,3.5,3.92,NED University of Engineering and Technology
47374,159.0,170.0,4.0,4.0,University of the Punjab
47378,167.0,169.0,5.0,3.84,National University of Modern Languages
47379,160.0,161.0,0.0,3.98,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
47391,160.0,159.0,0.0,3.8,Bahauddin Zakariya University
47404,144.0,166.0,3.5,3.6,National University of Sciences and Technology
47407,158.0,168.0,5.0,3.7,Bahauddin Zakariya University
47417,162.0,151.0,4.5,3.9,Aga Khan University
47421,167.0,170.0,4.0,3.9,Aga Khan University
47440,159.0,165.0,3.0,4.0,Air University
47443,167.0,164.0,4.0,4.0,COMSATS University Islamabad
47452,156.0,164.0,5.0,3.48,University of the Punjab
47455,166.0,156.0,5.0,3.61,National University of Computer and Emerging Sciences
47490,156.0,170.0,3.5,3.8,National University of Sciences and Technology
47493,156.0,170.0,3.5,3.8,Aga Khan University
47495,150.0,146.0,4.0,3.48,"International Islamic University, Islamabad"
47503,161.0,155.0,4.0,3.95,University of the Punjab
47510,159.0,167.0,5.5,3.7,Bahria University
47511,170.0,170.0,5.0,3.9,Quaid-i-Azam University
47522,160.0,160.0,5.5,2.9,Bahauddin Zakariya University
47538,159.0,160.0,4.5,4.0,Bahauddin Zakariya University
47539,168.0,163.0,4.0,3.9,Quaid-i-Azam University
47543,167.0,170.0,5.0,3.9,Bahauddin Zakariya University
47578,159.0,168.0,3.5,3.1,National University of Sciences and Technology
47581,156.0,165.0,4.0,3.6,National University of Modern Languages
47589,151.0,152.0,4.5,3.9,"International Islamic University, Islamabad"
47601,158.0,154.0,4.5,4.0,Bahria University
47603,162.0,161.0,4.5,3.3,"University of Engineering and Technology, Lahore"
47605,155.0,164.0,4.0,3.8,National University of Modern Languages
47607,150.0,161.0,3.5,3.94,"International Islamic University, Islamabad"
47624,154.0,157.0,4.5,3.74,"International Islamic University, Islamabad"
47639,151.0,168.0,3.0,3.9,National University of Modern Languages
47644,157.0,165.0,4.5,3.63,"International Islamic University, Islamabad"
47649,165.0,169.0,4.5,3.88,National University of Modern Languages
47653,159.0,158.0,4.0,3.1,Air University
47660,166.0,160.0,4.5,4.0,National University of Modern Languages
47661,154.0,163.0,4.0,3.6,National University of Modern Languages
47665,167.0,156.0,4.5,3.85,Bahauddin Zakariya University
47666,152.0,170.0,3.5,3.9,National University of Modern Languages
47668,157.0,160.0,4.0,3.29,Aga Khan University
47690,156.0,163.0,4.0,3.5,University of the Punjab
47708,157.0,160.0,4.5,3.57,Aga Khan University
47731,170.0,167.0,5.5,3.63,"University of Engineering and Technology, Lahore"
47775,156.0,157.0,5.0,3.9,"University of Engineering and Technology, Lahore"
47778,158.0,159.0,5.0,3.9,Aga Khan University
47782,158.0,162.0,3.5,3.1,Air University
47783,168.0,160.0,5.0,3.76,"International Islamic University, Islamabad"
47784,157.0,167.0,4.0,3.7,Bahria University
47796,165.0,162.0,5.5,4.0,Bahauddin Zakariya University
47810,170.0,156.0,5.0,3.84,Bahauddin Zakariya University
47811,170.0,156.0,5.0,3.84,Bahria University
47814,170.0,156.0,5.0,3.84,National University of Modern Languages
47832,151.0,168.0,3.0,3.87,COMSATS University Islamabad
47836,151.0,168.0,3.0,3.87,Aga Khan University
47844,157.0,170.0,4.0,3.9,Bahria University
47849,152.0,168.0,3.0,3.55,"University of Engineering and Technology, Lahore"
47855,166.0,161.0,5.0,3.2,"University of Engineering and Technology, Lahore"
47888,159.0,170.0,3.5,4.0,Bahauddin Zakariya University
47904,165.0,160.0,0.0,3.75,Bahria University
47911,157.0,158.0,3.5,3.5,COMSATS University Islamabad
47913,165.0,159.0,4.5,3.67,Bahauddin Zakariya University
47966,148.0,167.0,3.0,3.51,Aga Khan University
47977,165.0,162.0,4.5,3.85,Quaid-i-Azam University
48004,162.0,163.0,4.5,3.89,Bahauddin Zakariya University
48029,170.0,160.0,5.5,3.9,Bahauddin Zakariya University
48042,162.0,155.0,4.0,4.0,COMSATS University Islamabad
48069,159.0,152.0,5.5,3.9,Air University
48070,157.0,160.0,4.0,3.63,Aga Khan University
48074,162.0,170.0,5.0,3.97,Aga Khan University
48081,152.0,170.0,3.5,3.9,NED University of Engineering and Technology
48092,164.0,167.0,4.0,3.82,Bahauddin Zakariya University
48099,164.0,153.0,6.0,4.0,National University of Computer and Emerging Sciences
48104,166.0,155.0,0.0,3.78,National University of Computer and Emerging Sciences
48106,170.0,156.0,3.5,3.92,NED University of Engineering and Technology
48112,154.0,170.0,4.0,3.78,Air University
48114,154.0,170.0,4.0,3.78,NED University of Engineering and Technology
48122,167.0,168.0,4.0,3.91,Air University
48157,170.0,168.0,6.0,3.85,"International Islamic University, Islamabad"
48159,164.0,170.0,5.5,3.9,"International Islamic University, Islamabad"
48161,164.0,170.0,5.5,3.9,University of Central Punjab
48174,164.0,167.0,4.0,3.82,NED University of Engineering and Technology
48183,166.0,155.0,3.5,3.69,NED University of Engineering and Technology
48195,167.0,170.0,6.0,3.97,Bahauddin Zakariya University
48205,161.0,149.0,5.5,3.98,National University of Modern Languages
48206,148.0,167.0,3.0,3.51,National University of Modern Languages
48214,166.0,170.0,5.5,3.97,National University of Computer and Emerging Sciences
48217,160.0,162.0,4.0,3.68,Aga Khan University
48226,164.0,169.0,6.0,4.0,Air University
48232,160.0,160.0,5.5,2.9,"University of Engineering and Technology, Lahore"
48233,163.0,166.0,4.5,3.05,National University of Sciences and Technology
48258,159.0,167.0,4.0,3.92,National University of Computer and Emerging Sciences
48266,165.0,165.0,5.5,3.7,COMSATS University Islamabad
48268,163.0,160.0,0.0,3.78,University of Central Punjab
48277,167.0,168.0,5.0,3.83,Aga Khan University
48281,159.0,157.0,3.0,3.96,National University of Computer and Emerging Sciences
48301,170.0,166.0,4.0,3.61,Bahauddin Zakariya University
48313,161.0,154.0,4.0,3.83,Quaid-i-Azam University
48324,154.0,165.0,4.0,3.8,Bahauddin Zakariya University
48328,158.0,170.0,4.0,3.9,Bahauddin Zakariya University
48329,155.0,165.0,4.0,3.7,Bahauddin Zakariya University
48335,164.0,158.0,6.0,3.93,Bahauddin Zakariya University
48337,163.0,157.0,5.0,4.0,"International Islamic University, Islamabad"
48341,166.0,159.0,5.5,4.0,Bahauddin Zakariya University
48351,169.0,165.0,5.0,3.91,Bahauddin Zakariya University
48352,165.0,157.0,5.0,3.9,Bahauddin Zakariya University
48377,159.0,160.0,4.0,3.93,"International Islamic University, Islamabad"
48389,166.0,168.0,5.0,3.86,National University of Computer and Emerging Sciences
48392,164.0,166.0,5.0,4.0,COMSATS University Islamabad
48398,165.0,167.0,0.0,3.92,University of Central Punjab
48416,166.0,159.0,4.5,4.0,Bahauddin Zakariya University
48420,168.0,168.0,4.5,4.0,"University of Engineering and Technology, Lahore"
48431,167.0,170.0,4.0,4.0,"University of Engineering and Technology, Lahore"
48441,164.0,161.0,4.0,3.53,Bahria University
48459,162.0,170.0,4.0,3.86,National University of Modern Languages
48462,168.0,163.0,6.0,3.83,Air University
48474,170.0,167.0,5.5,4.0,"International Islamic University, Islamabad"
48480,161.0,169.0,4.0,3.46,Bahauddin Zakariya University
48492,165.0,160.0,4.0,3.67,NED University of Engineering and Technology
48493,161.0,164.0,5.0,3.94,Aga Khan University
48497,166.0,167.0,4.5,3.75,"University of Engineering and Technology, Lahore"
48504,158.0,157.0,4.0,3.24,Quaid-i-Azam University
48508,160.0,170.0,4.0,3.79,"University of Engineering and Technology, Lahore"
48525,155.0,162.0,5.5,3.3,COMSATS University Islamabad
